fold_id,train_start,train_end,test_start,test_end,n_train,n_test,up_fnn_rmse,up_fnn_mae,up_naive_rmse,up_naive_mae,dn_fnn_rmse,dn_fnn_mae,dn_naive_rmse,dn_naive_mae
1,2018-03-01,2019-02-28,2019-03-06,2019-05-31,23100,6100,0.02807768796839557,0.018582471983080315,0.03265478286764856,0.02210140451546637,0.03135594379870506,0.02119438877596134,0.03215954026789554,0.02159000088367645
2,2018-06-01,2019-05-31,2019-06-06,2019-08-31,25100,6100,0.026577195806413073,0.018182267477895565,0.033059653708261194,0.023681958816189196,0.028727610175633238,0.01983666560660805,0.03223311859668532,0.02194301800576096
3,2018-09-01,2019-08-31,2019-09-06,2019-11-30,25000,6000,0.02737994964123672,0.01790615657373864,0.03271313077598709,0.022388349482126153,0.024803458303861905,0.01748267522478953,0.027475767045406378,0.01870928027004856
4,2018-12-01,2019-11-30,2019-12-06,2020-02-29,25000,5700,0.03346171138616388,0.020557047680624264,0.03761913240821575,0.024832067068218847,0.04437981279176238,0.027195264213518446,0.04382505904223337,0.026688051400640532
5,2019-03-01,2020-02-29,2020-03-06,2020-05-31,25200,5900,0.09680563523460409,0.08014273463345828,0.0968524159614494,0.06574486691051773,0.0911808429638881,0.0703956514512972,0.08245653090257168,0.053546988028342464
6,2019-06-01,2020-05-31,2020-06-06,2020-08-31,25100,6000,0.03928856733549477,0.025295490899646757,0.046647061867191246,0.03178134342269176,0.038952987537530286,0.025652843960975627,0.03791528526269962,0.025388955804838
7,2019-09-01,2020-08-31,2020-09-06,2020-11-30,25200,5900,0.04707706030472568,0.030093505960158154,0.05649821593787377,0.037583450997621205,0.0360154110142207,0.0254305264162443,0.03781304226829931,0.026690224778493064
8,2019-12-01,2020-11-30,2020-12-06,2021-02-28,25200,5600,0.03740389311631021,0.02514139288177276,0.0448856408592918,0.030310604684199487,0.03197653407238749,0.023066317546214788,0.03488809010858438,0.025398400085333027
9,2020-03-01,2021-02-28,2021-03-06,2021-05-31,25100,5900,0.028992289876525117,0.020500628999003286,0.03613690022644427,0.02622970780530677,0.04642685278181475,0.03999646997129455,0.030614710696121532,0.02078397074017393
10,2020-06-01,2021-05-31,2021-06-06,2021-08-31,25200,6100,0.027349852999277034,0.018220504383062403,0.033021961936510746,0.022279334779793058,0.025738770467549462,0.01744782751671131,0.02865120674640475,0.019232049600213054
11,2020-09-01,2021-08-31,2021-09-06,2021-11-30,25200,6000,0.03830856769974734,0.0269914031968315,0.037018638898755056,0.024684731962107558,0.03173812744084806,0.02218620551438944,0.03399112167548803,0.02410113481365813
12,2020-12-01,2021-11-30,2021-12-06,2022-02-28,25200,5800,0.03639368485273822,0.02476928967211845,0.043869442313407725,0.02959187508775057,0.0412915262909663,0.028956473697469547,0.047033124920814226,0.03349841815182721
15,2021-09-01,2022-08-31,2022-09-06,2022-11-30,25200,6100,0.04180754261069316,0.029347178741468513,0.05166066821306152,0.036930507825922186,0.0415081452868676,0.02874720945575112,0.046146879295389034,0.032642940802740855
16,2021-12-01,2022-11-30,2022-12-06,2023-02-28,25200,5700,0.03723894374416946,0.024029775636711073,0.04154391916711161,0.027842748199748166,0.03427340886966726,0.02646118978307449,0.03398194088974284,0.024607034596634717
17,2022-03-01,2023-02-28,2023-03-06,2023-05-31,25100,6100,0.03350653003936235,0.02230271010997421,0.038446641574578604,0.02640733767992907,0.030519350960173747,0.021831055104417837,0.03306917026234521,0.02304143802216137
18,2022-06-01,2023-05-31,2023-06-06,2023-08-31,25100,6100,0.02844180847880851,0.019128435190018524,0.0343154559788514,0.02377131811217112,0.025234172511872023,0.018274545874030202,0.028558651366865237,0.020073757884631283
19,2022-09-01,2023-08-31,2023-09-06,2023-11-30,25100,6100,0.02917539376069434,0.021093022702250535,0.035535531651413044,0.024559890079540618,0.029583531871554825,0.021499748893524944,0.0318451584535024,0.022613210500605305
20,2022-12-01,2023-11-30,2023-12-06,2024-02-29,25100,5800,0.030802448327796952,0.020826708482184667,0.03720305384623517,0.02587070296162223,0.02862449235583983,0.020384181283215123,0.0290114611110562,0.018910458935636455
21,2023-03-01,2024-02-29,2024-03-06,2024-05-31,25200,6100,0.02784700235799027,0.019414927801929955,0.033588421897733416,0.023316569241827755,0.02900828595745176,0.019314183025670728,0.03194168047321197,0.021490866276504577
22,2023-06-01,2024-05-31,2024-06-06,2024-08-31,25200,6000,0.03435903765460358,0.022781902336602176,0.040050349632436824,0.027669495735062607,0.034308931696037465,0.02276471601640181,0.038194819461628365,0.0246738680313503
23,2023-09-01,2024-08-31,2024-09-06,2024-11-30,25100,6000,0.032567840811810626,0.02310204292903227,0.040626570728213726,0.02784900139782847,0.03543319815015309,0.026925561522374273,0.029299807743155448,0.020343434157224668
24,2023-12-01,2024-11-30,2024-12-06,2025-02-28,25100,5600,0.03479694072199628,0.023592031449562206,0.03992706128379481,0.026456327977783987,0.03430656318644807,0.023308512016802514,0.04002177918199533,0.027377522025128356
25,2024-03-01,2025-02-28,2025-03-06,2025-05-31,25000,6000,0.05046557203993278,0.0350646695975527,0.050829499412340946,0.034800571722280495,0.0467144136443357,0.03100298816126498,0.05155249548917409,0.03372057406436474
26,2024-06-01,2025-05-31,2025-06-06,2025-08-31,24900,5900,0.03291065546019027,0.022627267852037326,0.03691970810620703,0.02592549312583439,0.0322583790893925,0.02084910397059897,0.03547247717924259,0.022699650543617313
27,2024-09-01,2025-08-31,2025-09-06,2025-11-30,24900,5900,0.036144413688713246,0.02329230721059181,0.042529602584009334,0.02772034126322578,0.030833440415503614,0.021246578373503116,0.035215030869555894,0.024507308373554047
28,2024-12-01,2025-11-30,2025-12-06,2026-02-28,24900,5600,0.03708813237384789,0.025588991407352785,0.043616653460901794,0.030364545327364708,0.03629202281109515,0.02559944973765124,0.04123000735807795,0.028241976462723833
