ticker,n_predictions,n_folds,up_fnn_rmse,up_fnn_mae,up_naive_rmse,up_naive_mae,up_improve_pct,dn_fnn_rmse,dn_fnn_mae,dn_naive_rmse,dn_naive_mae,dn_improve_pct,avg_improve_pct
ETSY,1541,26,0.06242615936242283,0.04429783010572737,0.07388465842180719,0.0515647549516489,15.508631025899644,0.05960035824597568,0.04247470997689803,0.06507892115729567,0.0465812975173401,8.418337018953203,11.963484022426425
PYPL,1541,26,0.03899961664516811,0.02822706666163083,0.045446927487862714,0.032902383164245784,14.186461437720865,0.043783633312710006,0.03071014964162709,0.047893911246036536,0.032752183477489615,8.582046916593544,11.384254177157205
NOW,1541,26,0.039064324995406886,0.028493869802193164,0.0472414999543297,0.03424748656268083,17.309304249077663,0.04091526334825073,0.029814401907790788,0.04309787694718346,0.03091476183622906,5.064318137080226,11.186811193078945
FCX,1541,26,0.0504867682107237,0.03742349136829679,0.06113518181715561,0.0441995013955742,17.41781620651659,0.050660261261572595,0.035942863738979876,0.052993054307928764,0.03713208449070394,4.40207320906797,10.909944707792281
LULU,1541,26,0.03957793432814551,0.027547812755402547,0.047721403884827734,0.033157845782909076,17.06460601271479,0.04292233165964286,0.03007995023103891,0.0450259396980083,0.031078961180822463,4.671991417557219,10.868298715136005
COP,1541,26,0.03914659133197236,0.02772613800104758,0.04753917896722647,0.032610930828893075,17.65404413281929,0.0420817089109905,0.028796852775220726,0.0433704394957281,0.02940811469654889,2.971449216843969,10.31274667483163
MU,1541,26,0.0546193271618769,0.039593570848584274,0.0646606547551743,0.04738167051565047,15.529269895761244,0.050164529169356036,0.03597651037989948,0.05265158467418664,0.037447718808220176,4.723609973414389,10.126439934587816
MPC,1541,26,0.04390211878214437,0.02974529229214303,0.054421987264620914,0.03644208471591427,19.330180706788312,0.04898765367552475,0.032119716703335716,0.04932501260876985,0.031873742654352555,0.6839510329595178,10.007065869873914
LRCX,1541,26,0.048054897815711484,0.03444299470122629,0.05855127336973546,0.042724232942771036,17.92681004175981,0.04765389666084599,0.034393995452775966,0.04863139467646322,0.034366768464187236,2.0100143582563623,9.968412200008087
NXPI,1541,26,0.0407006273272136,0.029316522675238252,0.04941569448833824,0.03562241707042263,17.636233288558433,0.04479837180264315,0.0317371478806255,0.04584461195190469,0.03272146914926822,2.282144192558855,9.959188740558645
TTD,1541,26,0.07018278028540921,0.045712259401590113,0.08116889956717617,0.05410369148011444,13.53488754972555,0.06742906081749447,0.04520627953157568,0.0716127378411746,0.047680869755056775,5.842085011410736,9.688486280568142
AMAT,1541,26,0.04610950001031829,0.033812660544626935,0.05534486448465483,0.040900371514538805,16.68694026145312,0.04444373078744219,0.03278288834102093,0.04552560450535003,0.03282797494485906,2.376407144205417,9.531673702829268
OXY,1541,26,0.05499639568166924,0.03446190166944288,0.06419941269448426,0.03971162819599817,14.335048603342916,0.05159104967324915,0.03398777373677647,0.054028302480731726,0.036483695632709694,4.511066784583473,9.423057693963194
MS,1541,26,0.03347199285768085,0.023477402385327417,0.040840422102841153,0.029216000526855832,18.042000708527706,0.0360430542981312,0.02509448835606316,0.03624538341570044,0.024445068801174162,0.5582203814723519,9.30011054500003
AMD,1541,26,0.06007356998450635,0.04264204279434859,0.06912908803445217,0.0493310839372255,13.099432246860799,0.05188614174392009,0.03856419355409528,0.054668978967630184,0.04028135070282035,5.090340584845798,9.0948864158533
CMG,1541,26,0.035875080677494925,0.024495017354615196,0.042509897041677666,0.029158195605259524,15.607698032478922,0.038815130559279376,0.02628161019680855,0.03980811504615795,0.026140090819711876,2.49442729385001,9.051062663164466
WDAY,1541,26,0.04052221639816505,0.028166315172421758,0.046986798814184993,0.032637525398794054,13.758295051307757,0.04205818839004707,0.02972213430824449,0.043811894109874676,0.031008506738971448,4.002807355074712,8.880551203191235
C,1541,26,0.03504099267776805,0.02412856110996952,0.042478894498225846,0.029579027816226282,17.509640748227206,0.04069836931259688,0.026896296911418396,0.04077845211384779,0.026515698167984887,0.19638509335110355,8.853012920789155
GS,1541,26,0.03286213335537297,0.023169265570172997,0.03959614484314024,0.02822752655198804,17.0067351618295,0.03376221663468769,0.023753235917520824,0.03397428057515637,0.02319386339041572,0.6241896425137283,8.815462402171613
EBAY,1541,26,0.03544256541165575,0.025106675390033098,0.04037292506663214,0.0286530957881091,12.212044697874235,0.03416062667347364,0.024896030110854162,0.03609685770238418,0.02519846152424825,5.363987760027811,8.788016228951022
SLB,1541,26,0.04549263454849248,0.0317685277309453,0.053719520025167444,0.036960423940796065,15.314517837874753,0.048317839905825215,0.0338592979361961,0.049358896945305535,0.0345624617144449,2.1091578295072355,8.711837833690995
BA,1541,26,0.05431971672547329,0.03055994280580862,0.06281879775812639,0.03484305337402982,13.529518768215587,0.0524473977347086,0.03296072965204496,0.054502948804525116,0.034599101109281646,3.771449279173411,8.6504840236945
INTC,1541,26,0.05186482433240799,0.03496260608881959,0.05855837863905686,0.03842660537290413,11.43056632067414,0.048562203968645065,0.03308948882877458,0.051412770317580986,0.0344988279559752,5.54447140530987,8.487518862992005
PANW,1541,26,0.04270080457244174,0.029420026692837855,0.04941540367505814,0.03454664848608269,13.588068908168227,0.04391266085259376,0.03025207107694931,0.04542069021888275,0.029996693028654906,3.320137494656694,8.45410320141246
NFLX,1541,26,0.044675245019793995,0.030527646949288844,0.051295409519143124,0.03486866737432673,12.905958956967734,0.04034585801329257,0.028445742722565615,0.041973590394742896,0.029243511415875605,3.877991770878386,8.39197536392306
AXP,1541,26,0.03541523103604506,0.02313521157030282,0.04262320482337358,0.028447068338458423,16.910914646605445,0.039110986881471244,0.025656699145886596,0.03899090470639117,0.025230138043289975,-0.3079748366556778,8.301469904974883
CCL,1541,26,0.07106686118980737,0.04590753568364565,0.08366988328536994,0.052267576045417374,15.062793923803952,0.07254167976997358,0.04672752174538789,0.07332245964411868,0.048326735989696695,1.0648577229060874,8.06382582335502
BKNG,1541,26,0.03648910550961091,0.025274745878342924,0.042043709474622104,0.029762561985123153,13.211498305980818,0.03710899613320156,0.02658441046808586,0.038124603820765095,0.026010622023902488,2.663916698880875,7.937707502430847
GE,1541,26,0.040021723734454534,0.027994841143112275,0.04690608517647328,0.03393250729840531,14.676904747258124,0.039807000075628596,0.027466470606186028,0.040117394027364715,0.027320895047820398,0.773714143855897,7.725309445557011
BAC,1541,26,0.03292274401806513,0.0230283450355151,0.03926505075645798,0.02772775209046203,16.152549445895524,0.03668508943164913,0.02516596073712094,0.036292422454539154,0.024476666575762626,-1.0819530650009401,7.535298190447292
SCHW,1541,26,0.0358729041714662,0.0250505745292267,0.04130553757298382,0.029330990004627112,13.152312548695344,0.03949477915471103,0.026284993573677546,0.04018801228017541,0.026349898511509668,1.7249749020464833,7.4386437253709135
AVGO,1541,26,0.04837980483918705,0.031752127434874884,0.05619501686919227,0.03705840049257773,13.907304357959438,0.042788264472406475,0.029970713304078272,0.043199208350876206,0.029119087859448,0.9512764102803217,7.42929038411988
NVDA,1541,26,0.05271376991847124,0.03894785744334385,0.06442080977261154,0.04808177803582439,18.17276109298077,0.05110937332936561,0.03857173492253275,0.04945286021922834,0.036059044010475806,-3.349681095883672,7.41153999854855
ISRG,1541,26,0.03829999430144332,0.02506619034354518,0.042906609655388506,0.028795233670067606,10.736376961367899,0.03427444260990346,0.024021840080410667,0.0356742106555343,0.024552676709018,3.9237533778863964,7.330065169627147
RCL,1541,26,0.06970313643728239,0.04045968310560577,0.0828768654701503,0.04837815165030612,15.895544502238302,0.06384726862471518,0.04050385077171225,0.06297607875964685,0.04019258994195811,-1.3833663229387394,7.256089089649781
LOW,1541,26,0.03275678840126556,0.022077718204348055,0.03850218666350043,0.02621951695238947,14.92226483770449,0.03545806087462293,0.023414225073338853,0.03530470394070032,0.02286344627001371,-0.4343810223708333,7.243941907666828
NKE,1541,26,0.03671590119213147,0.024570152188387876,0.04007479787164028,0.026960257111593788,8.381568611443447,0.037696188197333724,0.025715621253379832,0.03986085218224448,0.026847226370043987,5.430551195980138,6.9060599037117925
VRTX,1541,26,0.03052977973353325,0.021142230996614816,0.034436139329731434,0.025034004879884386,11.343779158267942,0.03304646128703589,0.021527335995123912,0.033746110470216896,0.021750342693615657,2.0732735519208734,6.708526355094408
DE,1541,26,0.03381799167563296,0.023147711375977462,0.03824774305296051,0.027256561723873186,11.581732734383332,0.03343204616007516,0.023159754773197875,0.034019993535081575,0.02355432551671125,1.7282407017512158,6.654986718067274
XOM,1541,26,0.031670924018312646,0.022470006670241145,0.03697001471201037,0.026129212855041318,14.333482783214091,0.0340134655433279,0.0242128239019353,0.03360420953196734,0.023526961076804395,-1.2178712639297151,6.5578057596421875
ADI,1541,26,0.034996046514234866,0.024514382722172195,0.040500711630314594,0.028666231042682407,13.591526900380469,0.035178118588138435,0.025594012574840477,0.035006629653120395,0.02533053883358137,-0.48987559418691706,6.550825653096776
CAT,1541,26,0.035402567358658134,0.025421817276763545,0.04016944454882964,0.028911247017515657,11.866923338650926,0.03334999477521041,0.02438746761990557,0.03372652598150172,0.024376916833260622,1.116424521451831,6.491673930051379
LLY,1541,26,0.03843580499578018,0.026083532998542745,0.04224901590191102,0.029217846421479954,9.025561482861333,0.03294117571702188,0.02340022442973723,0.03423016608556688,0.023657586922137715,3.7656561914506725,6.3956088371560025
AMZN,1541,26,0.035423838883603974,0.025578303106521066,0.03937297061116192,0.028595303820950296,10.030057844907436,0.035084389641607726,0.025217990862639088,0.035992473945799665,0.025437045848500317,2.522983848121707,6.276520846514572
CI,1541,26,0.035654252957014104,0.02339189145081799,0.039278983797805964,0.02604678389904764,9.228168578521956,0.036770132454210354,0.025080001767027345,0.03798754501189979,0.025078042183378186,3.2047676608427222,6.2164681196823395
AMT,1541,26,0.031301915035217454,0.02219006704250853,0.034628525064580785,0.02412296089203962,9.60655997666473,0.031606127577352414,0.02253808208051314,0.03250985076651717,0.022744330545451837,2.7798441637127635,6.193202070188747
DIS,1541,26,0.0347863577040338,0.023126356713862695,0.03836988540114478,0.025431832378158273,9.339427677842549,0.033634572074057865,0.023130266359995787,0.0345927758124101,0.023774852401416764,2.769953309177564,6.054690493510057
