ticker,n_predictions,n_folds,mean_y_up_true,mean_y_up_pred,up_xgb_rmse,up_xgb_mae,up_naive_rmse,up_naive_mae,up_improve_pct,mean_y_dn_true,mean_y_dn_pred,dn_xgb_rmse,dn_xgb_mae,dn_naive_rmse,dn_naive_mae,dn_improve_pct,avg_improve_pct
FCX,1662,28,0.035522023612589534,0.032569415867328644,0.05072551917517984,0.0379124834875186,0.06087996278617019,0.04428709116119141,16.679451080901586,-0.02695332321591232,-0.030997667461633682,0.051286859457891174,0.038114561934709044,0.05508164149631319,0.03871128904393516,6.889377177831591,11.784414129366588
SLB,1662,28,0.028999263723716646,0.028602857142686844,0.04686795382257297,0.03388637736991532,0.054125139939179036,0.0377279668064084,13.408161391843121,-0.026093994335557757,-0.031438812613487244,0.047502263146354126,0.034554979097080066,0.05087970354036519,0.035648624921859905,6.638089766642574,10.023125579242848
GILD,1662,28,0.018074169232645893,0.018294600769877434,0.027811910641032427,0.02049169672026335,0.03212166468546063,0.022586636061437293,13.416969782325584,-0.013669017628484614,-0.017887549474835396,0.02452956013308981,0.018987620856498452,0.026221543183852607,0.01959777767119565,6.4526448306243545,9.93480730647497
LRCX,1662,28,0.035975958586201194,0.030258091166615486,0.0487962639496968,0.03559461986574093,0.0588688436740402,0.04320670513805901,17.110204814138687,-0.02381663429707409,-0.03080318495631218,0.04871563967721639,0.03596203189127529,0.04973710691659899,0.03548181289326887,2.0537327213169587,9.581968767727822
NXPI,1662,28,0.0288449450567374,0.027347462251782417,0.04232298457814803,0.030889549374732587,0.04950357936302597,0.03592940317911782,14.505203214135864,-0.023907596132564716,-0.02846401557326317,0.043804248743016354,0.031759934940880384,0.045911966592649144,0.03313136392299318,4.590781023024726,9.547992118580295
MU,1662,28,0.037922866966137676,0.031912192702293396,0.053328767563410734,0.0396663277498376,0.06370162084076508,0.04683782231798547,16.283499760992527,-0.025985523540993385,-0.0337088480591774,0.05162135039154163,0.03834182821593859,0.05309654311042829,0.03813214667716995,2.7783215864328636,9.530910673712695
AMAT,1662,28,0.033909711771092366,0.02803550846874714,0.046467091387585154,0.034730887229047054,0.05531731519158379,0.04108042917391118,15.99901183444482,-0.023112106921226956,-0.029765887185931206,0.04580192121637916,0.03403740041222521,0.04701060843052921,0.034094744432996676,2.5710945986504585,9.28505321654764
OXY,1662,28,0.0316413455551151,0.03286828473210335,0.058356916620958495,0.037757329952301036,0.0647653125003724,0.040907692422729465,9.894796507585845,-0.027302722224681827,-0.03419731929898262,0.04984119563241554,0.03421758734629123,0.05422705711196457,0.03697875461768865,8.087957770773702,8.991377139179773
PFE,1662,28,0.01655313730621217,0.018841762095689774,0.028222181225866224,0.020816494136831218,0.031743297715492697,0.022012083927324448,11.09247224779658,-0.016061462932768337,-0.019052330404520035,0.027809020888259046,0.020671237470480348,0.029502319417673062,0.021587676352145525,5.739543747193188,8.416007997494884
AMD,1662,28,0.04051667446510169,0.039273716509342194,0.06159563263640109,0.04598764382963051,0.06937807568531429,0.04988349083194441,11.217438610163931,-0.02842298676776167,-0.03270895034074783,0.052994245674820896,0.040254879402301116,0.05605399016860621,0.04151377505510465,5.458566793517883,8.338002701840907
