ticker,n_predictions,n_folds,up_mdn_rmse,up_mdn_mae,up_naive_rmse,up_naive_mae,up_improve_pct,dn_mdn_rmse,dn_mdn_mae,dn_naive_rmse,dn_naive_mae,dn_improve_pct,avg_improve_pct,mean_up_std,mean_dn_std
PYPL,1547,27,0.03750743506654255,0.027238978073000908,0.0453840809343717,0.03286156105248679,17.355525782750313,0.041436988514193064,0.028538107872009277,0.047841059013379206,0.03272820869082559,13.386138666778225,15.370832224764268,43364.75390625,9729.322265625
COP,1547,27,0.03810788555341204,0.027073893696069717,0.04755883530483479,0.03268148235055946,19.872121953461665,0.03889688011789859,0.02654697559773922,0.043306597413251234,0.02936895828637224,10.182553141437367,15.027337547449516,52309.796875,10453.1337890625
MPC,1547,27,0.042296159129871794,0.029018625617027283,0.05442031209770344,0.03649680822390884,22.278727373089236,0.04557401309510953,0.029409844428300858,0.04925408570793518,0.03182249989440865,7.471608821748498,14.875168097418868,54838.61328125,10552.6455078125
NOW,1547,27,0.03820575305269819,0.02771442010998726,0.047178685980944546,0.03420118891711524,19.019039512610682,0.038537558808426464,0.028015200048685074,0.04313491562117166,0.030956668868358572,10.658086950073232,14.838563231341958,51672.109375,10922.34765625
NXPI,1547,27,0.03943956007371736,0.028423158451914787,0.04933293119357226,0.03555164162060943,20.05429412056493,0.041472682708278356,0.028920885175466537,0.04585059853606769,0.032745571447005704,9.548219581791306,14.801256851178117,63016.89453125,10995.84765625
LULU,1547,27,0.03862424214439029,0.026789603754878044,0.04766768638289329,0.033129863636582955,18.971854782002715,0.04025596362366924,0.027845293283462524,0.045039073930524885,0.03111223396271081,10.619912643483397,14.795883712743056,47097.609375,10327.4619140625
MS,1547,27,0.031963581257814205,0.022753069177269936,0.040783818216942,0.029162041178304374,21.626805298636263,0.03346035346256953,0.02339698001742363,0.036229013753593935,0.024455962049578304,7.642107814071397,14.63445655635383,47255.8203125,9987.541015625
FCX,1547,27,0.04848028502592001,0.036073096096515656,0.061051041315442776,0.044146805997345606,20.590568184695346,0.04855614971850107,0.034061942249536514,0.05313977405922885,0.037300976936290545,8.625599980193622,14.608084082444485,49437.37109375,10936.9892578125
EBAY,1547,27,0.033411523767678794,0.024403898045420647,0.0403247509584277,0.02862708009498339,17.14388068478342,0.03174549350954946,0.02313033677637577,0.036053658662200345,0.025179852443467113,11.949314750593365,14.546597717688392,41576.63671875,10305.86328125
NVDA,1547,27,0.05062784351793115,0.03762541711330414,0.06431098261052329,0.047962318751505154,21.276520023740318,0.04564083380244916,0.034222088754177094,0.04938503044141205,0.03601563096983819,7.581642869299876,14.429081446520097,63154.5546875,9069.2353515625
LRCX,1547,27,0.04667534628437251,0.033317290246486664,0.05865452908101932,0.04284533546534113,20.423286972605304,0.044497655967023764,0.031207209452986717,0.048580436944136114,0.03434674838764238,8.404166849728512,14.413726911166908,61508.890625,11077.5634765625
AMAT,1547,27,0.044335855156238065,0.03246301785111427,0.055318328855477196,0.04090003530598266,19.8532275404262,0.041390516557835835,0.029754608869552612,0.045465839211281354,0.03278723761474776,8.963482746919837,14.408355143673019,60269.08203125,10997.2705078125
ETSY,1547,27,0.060721426509946,0.043065570294857025,0.07378926045296152,0.051518875470403354,17.709669215814795,0.057935518272286615,0.04113641753792763,0.06501131376253393,0.04653072637559371,10.883944779354849,14.296806997584822,52205.75,10285.1650390625
SLB,1547,27,0.04327119514663103,0.030613016337156296,0.053694257615786285,0.036968283413819976,19.411875556113166,0.044882972603289086,0.03111814707517624,0.049372517838395816,0.03459861852680551,9.093206973567225,14.252541264840197,52774.26953125,10393.271484375
LOW,1547,27,0.03121767010840089,0.021435895934700966,0.03843724613300991,0.026164986231155204,18.782760865921787,0.03202357810883691,0.021270480006933212,0.035395325527920504,0.022981798414912897,9.525968101137805,14.154364483529797,49178.734375,10327.2626953125
GS,1547,27,0.031490695380499145,0.02254554070532322,0.03954520376241799,0.02819400870320108,20.367851510664092,0.031425730756786646,0.02222243882715702,0.034027657250980316,0.023260810208968998,7.646504944499844,14.007178227581967,44872.953125,10055.0087890625
CMG,1547,27,0.03474566825801306,0.024066204205155373,0.042482386921063375,0.029147770816152743,18.211591258810223,0.035999254236965664,0.023970330134034157,0.03987884635731134,0.026211068300408553,9.728446218290365,13.970018738550294,53047.92578125,10403.6552734375
C,1547,27,0.03338563071205608,0.023583637550473213,0.042430699925446735,0.029552702728899195,21.31727553229944,0.03817186077764108,0.024777984246611595,0.04071996595203331,0.026479454251687767,6.257630906159917,13.787453219229679,49404.0546875,10149.421875
XOM,1547,27,0.030269633138711338,0.021960435435175896,0.03700552685139112,0.026192403620439095,18.202399170616225,0.030492678020687163,0.021570341661572456,0.03355528957213923,0.023497673787868968,9.127060414328636,13.66472979247243,50132.140625,10197.7216796875
ADI,1547,27,0.03331595596676057,0.023870447650551796,0.040434138221525216,0.028605590850979114,17.60438720312646,0.03170301054794743,0.022644788026809692,0.03499550694176956,0.025340116424338924,9.408340331519272,13.506363767322867,58360.8515625,10960.203125
BKNG,1547,27,0.03448020599784148,0.024000827223062515,0.04201550287998822,0.029766195863362863,17.93456311512044,0.034742521997136386,0.024654431268572807,0.03813440486989732,0.026039407210726416,8.8945478088172,13.41455546196882,33746.23046875,9793.3515625
BAC,1547,27,0.03153374311150782,0.022491442039608955,0.03919708773651983,0.027657048689923445,19.55080100982117,0.033811011379458626,0.023163054138422012,0.036267081064957664,0.0244787898905514,6.772173589321929,13.16148729957155,46827.8984375,9716.8212890625
WDAY,1547,27,0.039334114317989756,0.027634738013148308,0.04692168763672321,0.03260052587426658,16.1707169986679,0.03952722672204718,0.027595441788434982,0.04395277282518508,0.031112204911293587,10.068866691846235,13.119791845257067,50315.06640625,10695.6240234375
