ticker,n_predictions,n_folds,up_cvae_rmse,up_cvae_mae,up_naive_rmse,up_naive_mae,up_improve_pct,dn_cvae_rmse,dn_cvae_mae,dn_naive_rmse,dn_naive_mae,dn_improve_pct,avg_improve_pct,mean_up_std,mean_dn_std
NOW,1668,29,0.03934909766620866,0.02882676012814045,0.04842018975191807,0.03522649047958072,18.73411098177301,0.039053670064005196,0.028804324567317963,0.044981146950602645,0.0324431272929676,13.177691740735021,15.955901361254016,0.02212296612560749,0.021994542330503464
GOOGL,1668,29,0.030598355200247812,0.022854596376419067,0.03785547351709934,0.02796751750442698,19.17059183944294,0.02938088749129351,0.022182511165738106,0.03299314248921019,0.023742482855063706,10.94850240197035,15.059547120706647,0.02144406922161579,0.020734895020723343
AMAT,1668,29,0.04468284119149787,0.03327673301100731,0.05529279300129858,0.0410794719679371,19.18867041053891,0.041957995167129586,0.030665498226881027,0.046951667363325025,0.034052403326169704,10.635771798162175,14.912221104350543,0.025038881227374077,0.024806633591651917
GOOG,1668,29,0.030687411759445348,0.02288893796503544,0.037750652757231745,0.027893818008572276,18.710248649762274,0.02926688646269951,0.02224198542535305,0.032903625540791896,0.023660422848143476,11.052700176106068,14.881474412934171,0.021315764635801315,0.020636124536395073
NVDA,1668,29,0.05213690649910377,0.0391874797642231,0.06503886883863311,0.0486344343291674,19.837310472819247,0.047706459419767124,0.03580498695373535,0.052876347385819325,0.03846468612951492,9.777316743022023,14.807313607920635,0.028810076415538788,0.028952470049262047
PYPL,1668,29,0.040195101428335024,0.02913818135857582,0.04769992213696266,0.03445221205673807,15.733402430047484,0.042776268654147166,0.029406841844320297,0.04966841044548051,0.03411130236063029,13.876308360821488,14.804855395434487,0.023354770615696907,0.02271406352519989
MSFT,1668,29,0.02611069966796229,0.01970789209008217,0.03219526047998055,0.02401098151843556,18.898933325300238,0.026276472124852904,0.01968136988580227,0.029384303895245472,0.020754963829237156,10.576502957061473,14.737718141180856,0.019913263618946075,0.019357962533831596
LRCX,1668,29,0.047295551441577974,0.034305233508348465,0.05896296197168033,0.043317286636573686,19.787694070908724,0.04489723597558869,0.0325825996696949,0.04968696195760477,0.035459234408470985,9.639804474467361,14.713749272688043,0.02524198405444622,0.02472226321697235
NXPI,1668,29,0.04069967713598107,0.029679931700229645,0.049426645365840446,0.03586265853213332,17.656404081776355,0.040754765948940494,0.029096515849232674,0.04591726947638261,0.03315224437815003,11.243054271982423,14.449729176879389,0.02480820007622242,0.02469024807214737
AAPL,1668,29,0.02915523982329596,0.022024836391210556,0.036436381893172616,0.027142144673930477,19.983164330707005,0.030128235573266975,0.02187212184071541,0.03303368085981665,0.022734645618656155,8.795402785657968,14.389283558182488,0.01892252452671528,0.018674125894904137
